id,name.local,name.en,name.slug,code.id,children_count.cadastre,geo.lat,geo.lon
LB23,راشيا,Rachaya,rachaya-lb23,LB23,38,33.518,35.825
LB24,البقاع الغربي,West Bekaa,west-bekaa-lb24,LB24,44,33.599,35.725
LB25,زحلة,Zahle,zahle-lb25,LB25,62,33.805,35.913
