id,name.local,name.en,name.slug,code.id,children_count.cadastre,geo.lat,geo.lon
LB53,بشري,Bcharre,bcharre-lb53,LB53,24,34.242,35.983
LB52,البترون,El Batroun,el-batroun-lb52,LB52,75,34.235,35.78
LB54,الكورة,El Koura,el-koura-lb54,LB54,43,34.332,35.805
LB55,المنية الضنية,El Minieh-Dennie,el-minieh-dennie-lb55,LB55,62,34.393,36.054
LB56,طرابلس,Tripoli,tripoli-lb56,LB56,17,34.424,35.837
LB57,زغرتا,Zgharta,zgharta-lb57,LB57,52,34.361,35.893
