id,name.local,name.en,name.slug,code.id,children_count.cadastre,geo.lat,geo.lon
LB31,عاليه,Aley,aley-lb31,LB31,82,33.766,35.631
LB32,بعبدا,Baabda,baabda-lb32,LB32,57,33.841,35.7
LB33,الشوف,Chouf,chouf-lb33,LB33,106,33.628,35.537
LB36,المتن,El Meten,el-meten-lb36,LB36,102,33.91,35.718
LB34,جبيل,Jbeil,jbeil-lb34,LB34,107,34.125,35.829
LB35,كسروان,Kesrwane,kesrwane-lb35,LB35,82,34.013,35.791
