id,name.local,name.en,name.slug,code.id,children_count.cadastre,geo.lat,geo.lon
LB41,بنت جبيل,Bent Jbeil,bent-jbeil-lb41,LB41,38,33.183,35.416
LB44,النبطية,El Nabatieh,el-nabatieh-lb44,LB44,52,33.403,35.468
LB42,حاصبيا,Hasbaya,hasbaya-lb42,LB42,22,33.361,35.703
LB43,مرجعيون,Marjaayoun,marjaayoun-lb43,LB43,33,33.259,35.496
