id,name.local,name.en,name.slug,code.id,children_count.cadastre,geo.lat,geo.lon
LB21,بعلبك,Baalbek,baalbek-lb21,LB21,89,34.131,36.289
LB22,الهرمل,El Hermel,el-hermel-lb22,LB22,11,34.391,36.302
