id,name.local,name.en,name.slug,code.id,children_count.cadastre,geo.lat,geo.lon
LB62,جزين,Jezzine,jezzine-lb62,LB62,79,33.474,35.577
LB61,صيدا,Saida,saida-lb61,LB61,77,33.454,35.338
LB63,صور,Sour,sour-lb63,LB63,75,33.212,35.29
